serie,ano,regiao,tipo_localizacao,tipo_escola,percentual_aprovacao,percentual_reprovacao,percentual_abandono
EF1,2015,N,T,TO,88.9,8.8,2.3
EF1,2015,N,T,PU,88.1,9.5,2.4
EF1,2015,N,T,FE,96.4,3.5,0.1
EF1,2015,N,T,ES,90.6,7.3,2.1
EF1,2015,N,T,MU,87.5,10.0,2.5
EF1,2015,N,T,PR,98.3,1.4,0.3
EF1,2015,N,U,TO,91.3,7.1,1.6
EF1,2015,N,U,PU,90.4,7.9,1.7
EF1,2015,N,U,FE,96.4,3.5,0.1
EF1,2015,N,U,ES,91.4,6.8,1.8
EF1,2015,N,U,MU,90.1,8.2,1.7
EF1,2015,N,U,PR,98.4,1.3,0.3
EF1,2015,N,R,TO,83.6,12.6,3.8
EF1,2015,N,R,PU,83.5,12.6,3.9
EF1,2015,N,R,FE,,,
EF1,2015,N,R,ES,85.8,10.2,4.0
EF1,2015,N,R,MU,83.3,12.8,3.9
EF1,2015,N,R,PR,89.6,9.3,1.1
EF1,2015,NE,T,TO,90.3,8.0,1.7
EF1,2015,NE,T,PU,88.6,9.4,2.0
EF1,2015,NE,T,FE,99.0,0.7,0.3
EF1,2015,NE,T,ES,85.5,11.4,3.1
EF1,2015,NE,T,MU,88.7,9.3,2.0
EF1,2015,NE,T,PR,97.6,2.0,0.4
EF1,2015,NE,U,TO,91.0,7.3,1.7
EF1,2015,NE,U,PU,88.7,9.2,2.1
EF1,2015,NE,U,FE,99.2,0.4,0.4
EF1,2015,NE,U,ES,86.1,11.1,2.8
EF1,2015,NE,U,MU,88.8,9.1,2.1
EF1,2015,NE,U,PR,97.6,2.0,0.4
EF1,2015,NE,R,TO,88.4,9.6,2.0
EF1,2015,NE,R,PU,88.4,9.7,1.9
EF1,2015,NE,R,FE,98.1,1.9,0.0
EF1,2015,NE,R,ES,82.6,12.7,4.7
EF1,2015,NE,R,MU,88.5,9.6,1.9
EF1,2015,NE,R,PR,96.2,3.2,0.6
EF1,2015,SE,T,TO,96.1,3.5,0.4
EF1,2015,SE,T,PU,95.6,4.0,0.4
EF1,2015,SE,T,FE,96.1,3.9,0.0
EF1,2015,SE,T,ES,98.5,1.3,0.2
EF1,2015,SE,T,MU,94.7,4.8,0.5
EF1,2015,SE,T,PR,98.1,1.8,0.1
EF1,2015,SE,U,TO,96.2,3.4,0.4
EF1,2015,SE,U,PU,95.7,3.9,0.4
EF1,2015,SE,U,FE,96.1,3.9,0.0
EF1,2015,SE,U,ES,98.5,1.2,0.3
EF1,2015,SE,U,MU,94.8,4.7,0.5
EF1,2015,SE,U,PR,98.1,1.8,0.1
EF1,2015,SE,R,TO,94.4,5.2,0.4
EF1,2015,SE,R,PU,94.4,5.2,0.4
EF1,2015,SE,R,FE,,,
EF1,2015,SE,R,ES,97.6,2.0,0.4
EF1,2015,SE,R,MU,94.0,5.6,0.4
EF1,2015,SE,R,PR,96.4,3.5,0.1
EF1,2015,S,T,TO,94.5,5.3,0.2
EF1,2015,S,T,PU,93.8,5.9,0.3
EF1,2015,S,T,FE,96.9,2.9,0.2
EF1,2015,S,T,ES,92.5,7.2,0.3
EF1,2015,S,T,MU,94.2,5.5,0.3
EF1,2015,S,T,PR,98.7,1.3,0.0
EF1,2015,S,U,TO,94.5,5.2,0.3
EF1,2015,S,U,PU,93.8,5.9,0.3
EF1,2015,S,U,FE,96.9,2.9,0.2
EF1,2015,S,U,ES,92.4,7.3,0.3
EF1,2015,S,U,MU,94.2,5.5,0.3
EF1,2015,S,U,PR,98.7,1.3,0.0
EF1,2015,S,R,TO,94.2,5.5,0.3
EF1,2015,S,R,PU,94.2,5.5,0.3
EF1,2015,S,R,FE,,,
EF1,2015,S,R,ES,92.9,6.5,0.6
EF1,2015,S,R,MU,94.5,5.3,0.2
EF1,2015,S,R,PR,96.4,3.4,0.2
EF1,2015,CO,T,TO,94.8,4.7,0.5
EF1,2015,CO,T,PU,93.9,5.5,0.6
EF1,2015,CO,T,FE,92.3,7.7,0.0
EF1,2015,CO,T,ES,93.9,5.7,0.4
EF1,2015,CO,T,MU,93.9,5.5,0.6
EF1,2015,CO,T,PR,99.0,0.9,0.1
EF1,2015,CO,U,TO,95.1,4.5,0.4
EF1,2015,CO,U,PU,94.1,5.4,0.5
EF1,2015,CO,U,FE,92.3,7.7,0.0
EF1,2015,CO,U,ES,93.9,5.7,0.4
EF1,2015,CO,U,MU,94.2,5.2,0.6
EF1,2015,CO,U,PR,99.0,0.8,0.2
EF1,2015,CO,R,TO,92.1,6.9,1.0
EF1,2015,CO,R,PU,92.1,6.9,1.0
EF1,2015,CO,R,FE,,,
EF1,2015,CO,R,ES,94.2,5.3,0.5
EF1,2015,CO,R,MU,91.4,7.4,1.2
EF1,2015,CO,R,PR,96.6,2.6,0.8
EF2,2015,N,T,TO,82.6,11.7,5.7
EF2,2015,N,T,PU,81.6,12.3,6.1
EF2,2015,N,T,FE,89.0,11.0,0.0
EF2,2015,N,T,ES,81.9,12.5,5.6
EF2,2015,N,T,MU,81.2,12.2,6.6
EF2,2015,N,T,PR,95.7,4.1,0.2
EF2,2015,N,U,TO,83.2,12.0,4.8
EF2,2015,N,U,PU,81.8,12.9,5.3
EF2,2015,N,U,FE,89.0,11.0,0.0
EF2,2015,N,U,ES,81.8,12.8,5.4
EF2,2015,N,U,MU,81.8,13.0,5.2
EF2,2015,N,U,PR,95.8,4.0,0.2
EF2,2015,N,R,TO,80.9,10.8,8.3
EF2,2015,N,R,PU,80.8,10.8,8.4
EF2,2015,N,R,FE,,,
